3.905256829661422624e-01 8.395805926038061306e-01 8.514704782698685470e-01 5.214222879599300420e+00
2.885736416075451172e-01 9.025866228649661593e-01 7.900398670874334561e-01 5.721486236252692592e+00
3.365276421660111095e-01 1.054631798918661989e+00 1.023179844510788028e+00 5.820505877086397106e+00
2.577168929252546259e-01 9.493155144060518857e-01 8.146277957427495720e-01 4.373208347462883339e+00
2.514745564478746420e-01 1.107915081600613583e+00 5.093309427197367789e-01 4.693910758787618320e+00
2.877956935410073691e-01 8.193159161907147547e-01 5.686679957438800503e-01 4.012769795994515221e+00
3.199876977075478135e-01 1.186380232300433768e+00 7.680170711857791099e-01 2.648782179604645126e+00
3.299959298274070529e-01 1.012576111513817878e+00 7.296564437869508257e-01 5.541821677780135680e+00
2.390254617796985503e-01 1.158817423938209634e+00 1.019894205728956393e+00 8.942908089764873836e+00
3.275595366642695128e-01 8.093037706237653506e-01 5.928770794726899718e-01 4.754234356427715191e+00
2.793124690482203798e-01 8.442841075951164065e-01 4.631968214235258063e-01 6.128919664953763835e+00
3.001084073453892387e-01 9.117239821533398292e-01 6.672156715851086384e-01 6.690489885013860771e+00
2.691535681888390652e-01 1.091793310868938160e+00 1.202688525498729177e+00 3.799684269201099251e+00
2.639406357739552678e-01 1.017454270236900493e+00 1.158830775272737812e+00 5.014048454782015440e+00
3.623172664363538686e-01 1.145125399614696393e+00 8.737108267940307815e-01 1.374079314522642647e+00
2.260504555607582566e-01 9.618279676329668515e-01 1.070589203866787908e+00 5.270793785007136911e+00
3.112122354085534726e-01 1.167263800071656199e+00 9.934709122371698786e-01 3.376677352782962327e+00
3.064225853863418725e-01 9.791199370798313595e-01 8.876281029913494214e-01 7.196282721477490263e+00
2.750669738027087252e-01 1.122817339160540717e+00 7.107128542904495028e-01 4.967572873807077016e+00
3.430030928014652369e-01 9.410624095633255415e-01 3.160535329979201058e-01 7.464975991348675066e+00
2.915164745189494089e-01 1.072310284927656898e+00 7.650318790184769124e-01 4.100466782183092462e+00
3.054140983376240071e-01 8.781715609929265920e-01 6.111990900471466759e-01 6.333007973444979122e+00
3.524366247951412623e-01 8.921389880137433614e-01 6.356381002573108230e-01 3.585424251132879547e+00
2.724777867411962151e-01 1.190278997718106524e+00 9.521301469586725963e-01 5.469657293592002034e+00
3.238353101426387770e-01 8.587885642072777825e-01 9.186003990591719015e-01 6.550808008033141228e+00
3.123861483621533375e-01 9.324139057885875159e-01 8.230112448672851633e-01 5.951984325646641594e+00
2.971299626624465673e-01 1.095836128846986224e+00 6.930021114574118624e-01 4.599620088888770830e+00
3.179592663621113591e-01 9.952015385011584447e-01 9.250606117849403676e-01 3.140955849809259348e+00
2.948654045342003482e-01 1.029571455611324460e+00 7.434167569587089019e-01 3.066813569083254976e+00
2.838786001760348343e-01 1.051949797794528241e+00 8.493785919613855429e-01 4.338071129434525552e+00
